dataset_id,dataset_role,pocket_id,source_bus,load_bus,voltage_kv,length_km,r_ohm_km,x_ohm_km,current_limit_kA,short_circuit_gva,source_q_limit_mvar,converter_rating_mw,existing_load_mw,vdc_pp_kv,vdc_pp_kv_effective
A,Full Texas Combined T&D,A-mpc-0033,110021,110134,138.0,43.401275999999996,0.016542343132953052,0.1,2.0,3.0,220.0,800.0,4.6,,276.0
A,Full Texas Combined T&D,A-mpc-0037,110025,110061,138.0,34.831476,0.016511755057408418,0.09999999999999999,2.0,3.0,220.0,800.0,1.58,,276.0
A,Full Texas Combined T&D,A-mpc-0038,110134,110025,138.0,37.002492,0.015182707153885746,0.1,2.0,3.0,220.0,800.0,7.3,,276.0
A,Full Texas Combined T&D,A-mpc-0042,110073,110029,138.0,52.923276,0.02065491183879093,0.1,2.0,3.0,220.0,800.0,7.7,,276.0
A,Full Texas Combined T&D,A-mpc-0043,110029,111363,138.0,35.650368,0.021901709401709404,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0047,110121,110033,138.0,79.12781999999999,0.01590854392298436,0.1,2.0,3.0,220.0,800.0,7.5,,276.0
A,Full Texas Combined T&D,A-mpc-0048,110033,110719,138.0,120.0,0.0172983,0.10909038,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0052,110037,110118,138.0,26.718732000000003,0.01796151104775481,0.1,2.0,3.0,220.0,800.0,0.63,,276.0
A,Full Texas Combined T&D,A-mpc-0053,110124,110037,138.0,31.879656,0.02084826762246117,0.1,2.0,3.0,220.0,800.0,4.25,,276.0
A,Full Texas Combined T&D,A-mpc-0054,110037,230007,138.0,28.032767999999997,0.024048913043478264,0.1,2.0,3.0,220.0,800.0,2.49,,276.0
A,Full Texas Combined T&D,A-mpc-0058,110041,110061,138.0,69.339204,0.01436418566327932,0.1,2.0,3.0,220.0,800.0,1.58,,276.0
A,Full Texas Combined T&D,A-mpc-0062,110053,110045,138.0,52.732836,0.015492957746478873,0.1,2.0,3.0,220.0,800.0,1.73,,276.0
A,Full Texas Combined T&D,A-mpc-0063,110045,110057,138.0,53.89451999999999,0.018833922261484098,0.1,2.0,3.0,220.0,800.0,0.61,,276.0
A,Full Texas Combined T&D,A-mpc-0064,110045,110118,138.0,30.908412000000002,0.02365988909426987,0.1,2.0,3.0,220.0,800.0,0.63,,276.0
A,Full Texas Combined T&D,A-mpc-0065,110045,110118,138.0,30.908412000000002,0.02365988909426987,0.1,2.0,3.0,220.0,800.0,0.63,,276.0
A,Full Texas Combined T&D,A-mpc-0069,110049,110053,138.0,53.932608,0.01705508474576271,0.1,2.0,3.0,220.0,800.0,4.25,,276.0
A,Full Texas Combined T&D,A-mpc-0070,110049,110057,138.0,73.26226799999999,0.01754613984923317,0.1,2.0,3.0,220.0,800.0,0.61,,276.0
A,Full Texas Combined T&D,A-mpc-0071,110049,110077,138.0,100.87606799999999,0.02112516518784218,0.1,2.0,3.0,220.0,800.0,2.41,,276.0
A,Full Texas Combined T&D,A-mpc-0072,110133,110049,138.0,19.215396,0.019425173439048565,0.1,2.0,3.0,220.0,800.0,3.09,,276.0
A,Full Texas Combined T&D,A-mpc-0076,110053,160133,138.0,120.0,0.02748684,0.13018161,2.0,3.0,220.0,800.0,0.27,,276.0
A,Full Texas Combined T&D,A-mpc-0086,110132,110065,138.0,53.780255999999994,0.02237960339943343,0.1,2.0,3.0,220.0,800.0,3.24,,276.0
A,Full Texas Combined T&D,A-mpc-0087,110065,110729,138.0,57.265308,0.022048553375457268,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0088,110065,110729,138.0,57.265308,0.022048553375457268,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0089,111363,110065,138.0,49.495355999999994,0.014659484417083495,0.1,2.0,3.0,220.0,800.0,3.24,,276.0
A,Full Texas Combined T&D,A-mpc-0090,111363,110065,138.0,49.495355999999994,0.014659484417083495,0.1,2.0,3.0,220.0,800.0,3.24,,276.0
A,Full Texas Combined T&D,A-mpc-0094,110069,110135,138.0,90.09716399999999,0.013971676178397804,0.1,2.0,3.0,220.0,800.0,21.8,,276.0
A,Full Texas Combined T&D,A-mpc-0095,110069,111411,138.0,36.545435999999995,0.015737363210005212,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0099,110073,110125,138.0,61.893,0.018461538461538463,0.1,2.0,3.0,220.0,800.0,26.8,,276.0
A,Full Texas Combined T&D,A-mpc-0100,110073,110127,138.0,47.629044,0.022031187524990004,0.1,2.0,3.0,220.0,800.0,222.5,,276.0
A,Full Texas Combined T&D,A-mpc-0101,110073,110127,138.0,47.629044,0.022031187524990004,0.1,2.0,3.0,220.0,800.0,222.5,,276.0
A,Full Texas Combined T&D,A-mpc-0102,110073,110128,138.0,47.762352,0.018341307814992026,0.1,2.0,3.0,220.0,800.0,41.4,,276.0
B,Austin-Travis 150-bus T&D,ATX-138-01,B_12,B_47,138.0,12.0,0.01,0.09,4.2,5.0,260.0,950.0,80.0,,276.0
B,Austin-Travis 150-bus T&D,ATX-138-02,B_18,B_64,138.0,19.0,0.011,0.102,4.0,4.5,240.0,900.0,65.0,,276.0
B,Austin-Travis 150-bus T&D,ATX-138-03,B_21,B_83,138.0,25.0,0.012,0.11,3.8,3.9,220.0,820.0,55.0,,276.0
B,Austin-Travis 150-bus T&D,ATX-230-138-04,B_04,B_101,138.0,15.0,0.01,0.095,4.6,5.8,300.0,1050.0,95.0,,276.0
